index	attitude.roll	attitude.pitch	attitude.yaw	gravity.x	gravity.y	gravity.z	rotationRate.x	rotationRate.y	rotationRate.z	userAcceleration.x	userAcceleration.y	userAcceleration.z
0	-1.39579	0.39317578	0.7175829	0.63782096	-0.76901054	-0.033531178	-0.5817625	1.861475	1.8008375	0.17705673	0.31813893	-0.08746271
1	-1.3647596	0.41770208	0.7146195	0.60169977	-0.79793555	-0.023944544	-1.2340626	1.9295375	2.6277626	0.21593018	0.1368805	-0.026315395
2	-1.3280021	0.46387625	0.7214588	0.5574758	-0.8291915	-0.031299748	-1.7715499	1.406075	2.777775	0.22712667	0.03672973	-0.021406677
3	-1.3009584	0.52441984	0.73801553	0.5150305	-0.855171	-0.052377332	-1.9768375	0.6199875	2.3648624	0.29648325	0.14426886	0.05451801
4	-1.2901243	0.5861621	0.76256406	0.47780043	-0.8741107	-0.08339435	-1.7853	0.207625	2.0976999	0.13229129	0.058514383	0.014892818
5	-1.3022916	0.6407788	0.7942191	0.45084548	-0.8865388	-0.10051989	-0.95411247	0.9004875	1.241075	0.18115757	-0.009378575	-0.1767431
6	-1.309041	0.68387157	0.81898624	0.43818182	-0.89289916	-0.10022512	-0.3040125	0.8859125	0.686675	0.27538088	-0.16540357	-0.23688498
7	-1.2949604	0.7061001	0.82883304	0.42961898	-0.8970714	-0.10004101	-0.012375	-0.06875	0.4417875	0.19484586	-0.1804974	0.018802475
8	-1.2855712	0.7182769	0.8295202	0.42085814	-0.9010038	-0.10191815	0.0163625	-0.5638875	0.51205	0.035609722	-0.30797175	0.11578666
9	-1.2873416	0.7263648	0.82487524	0.40803012	-0.9064886	-0.10538893	0.1557875	-0.3482875	0.717475	0.2748445	-0.34121785	0.17297304
10	-1.2967958	0.73754644	0.8192964	0.38657114	-0.91685146	-0.09624591	0.5379	0.6147625	1.6284125	0.4837652	-0.12799563	0.46321836
11	-1.2862105	0.75492436	0.8045147	0.34015414	-0.9369336	-0.07594697	0.971025	0.497475	3.185325	0.18542689	-0.22289827	0.42579406
12	-1.2464395	0.79224914	0.7669668	0.2603406	-0.9634777	-0.057015494	0.8570375	-0.122099996	4.740175	-0.33281767	-0.2943205	0.2052265
13	-1.1936733	0.8571696	0.7006062	0.15298964	-0.9868249	-0.045693345	0.5027	-0.3576375	5.621275	-0.46369302	-0.12693657	0.2007392
14	-1.1260816	0.9487958	0.6123255	0.0709637	-0.9964332	-0.037445925	0.1376375	0.2160125	2.696925	-0.24955697	0.12712128	0.15243062
15	-1.0249263	1.0575923	0.49638626	0.05955913	-0.99603367	-0.060718417	-0.5732375	-0.09185	-0.0966625	-0.10318299	0.05984097	0.1634707
16	-1.0629224	1.0687531	0.54300517	0.0618535	-0.99535346	-0.069013916	-0.3763375	0.1720125	-0.117975	0.05802417	-0.13155787	0.067179054
17	-1.0629224	1.0687531	0.54300517	0.06423371	-0.99487793	-0.07354673	-0.144375	-0.37125	-0.1115125	0.036270875	-0.052721467	0.062430523
18	-1.0754249	1.0711068	0.55650353	0.067117	-0.9945977	-0.07475111	0.003575	-0.7638125	-0.27115	0.031246917	0.14455184	0.03377252
19	-1.0919054	1.0693803	0.5616796	0.07679192	-0.9936546	-0.07791623	-0.306075	0.034925	-0.63195	-0.0263332	0.37091762	0.10666241
20	-1.1330149	1.0533508	0.6028398	0.10514842	-0.9889722	-0.10097106	-0.469975	-0.0730125	-0.3755125	-0.17100468	0.07540949	0.009227941
21	-1.1600819	1.047306	0.64007115	0.10731764	-0.9883266	-0.10493205	0.0312125	-0.506275	-0.0977625	-0.013632626	0.10575781	-0.13615358
22	-1.1796114	1.0465765	0.65440357	0.10929937	-0.9885675	-0.100524954	0.3345375	-0.047849998	-0.1307625	0.037902463	0.3490109	-0.094689116
23	-1.1832287	1.0431625	0.6497857	0.10870969	-0.9889859	-0.09698463	-0.076175	0.672375	0.28545	0.040632818	0.40672287	0.0013730151
24	-1.1713719	1.0408384	0.6416974	0.104734056	-0.9890833	-0.10030842	-0.3273875	0.4514125	0.2311375	-9.5729553E-4	0.18032183	0.025186097
25	-1.1603084	1.047687	0.6438358	0.101216145	-0.9885781	-0.1085621	-0.4742375	0.1918125	0.1736625	-0.040971495	0.103364	-0.07737063
26	-1.1653126	1.0561049	0.65594804	0.09876621	-0.9879036	-0.11665811	-0.36135	0.066275	0.0991375	-0.069515444	0.0814816	-0.07763853
27	-1.175802	1.0641981	0.67136693	0.09645745	-0.9875235	-0.121697165	-0.1549625	-0.1703625	0.0490875	-0.1442709	-0.051008645	-0.07015299
28	-1.1866353	1.0712969	0.6826099	0.09560752	-0.98741305	-0.12325564	-0.0474375	-0.1211375	-0.0935	-0.12068397	-0.2569295	-0.046362095
29	-1.1930453	1.0737695	0.68567467	0.099986225	-0.98671186	-0.12537715	-0.1975875	0.088275	-0.2743125	-0.18786086	-0.49055117	-0.022023471
30	-1.2112699	1.0705441	0.70625657	0.10383504	-0.9841071	-0.14166445	-0.3774375	0.088275	-0.099825	-0.06672495	-0.25778896	-0.19809091
31	-1.2295152	1.0735402	0.7262868	0.10621079	-0.98399556	-0.14067486	0.3356375	-0.2237125	-0.15413749	-0.0032597238	-0.37094322	0.013763556
32	-1.236103	1.0725368	0.73302186	0.10898543	-0.9851239	-0.1302708	0.48894998	0.0495	-0.1307625	-0.06331265	-0.4312829	0.18643288
33	-1.2243501	1.066652	0.71600085	0.11009314	-0.9855017	-0.1264244	-0.10065	0.16995	0.0279125	-0.17614818	-0.33815268	0.20552225
34	-1.2119359	1.063661	0.705006	0.10896425	-0.9850353	-0.13095513	-0.3040125	-0.0803	0.0661375	-0.022832751	-0.1296436	0.29720894
35	-1.2178023	1.067558	0.7126627	0.106998995	-0.98577625	-0.12693849	0.078099996	-0.1524875	0.3663	0.15222119	0.06517989	0.37403327
36	-1.2189684	1.073894	0.71333855	0.10134546	-0.9872665	-0.11979606	0.49101248	-0.6727875	0.130075	0.21944964	0.19847439	0.345897
37	-1.2134947	1.0781658	0.69773483	0.09762354	-0.98910934	-0.107003905	0.742225	-0.6298875	0.19607499	0.14529696	0.18686163	0.28273782
38	-1.2036396	1.0763493	0.67131126	0.088370554	-0.9915433	-0.09137757	0.787875	-0.366025	0.6716875	0.091033116	0.17808764	0.23224914
39	-1.1826524	1.0767608	0.6349888	0.07194615	-0.9941542	-0.076146156	0.803825	-0.5627875	0.9026875	-0.032909453	0.2925181	0.097140044
40	-1.152057	1.084243	0.5917542	0.046150103	-0.9969857	-0.056631234	1.23915	-1.4829375	1.3858625	-0.2142388	0.17252085	0.0061725164
41	-1.1192815	1.0971946	0.5353461	0.013470217	-0.99922276	-0.026266603	1.6531625	-1.8106	1.5305125	-0.19817969	0.127969	-0.030002514
42	-1.0754658	1.1124101	0.4465876	-0.013701385	-0.999564	0.001168865	1.0934	-0.3608	1.226225	0.061300773	0.11557317	0.06763847
