input,session_id,timestamp,event_type,event_type_detail,pointer_id,x,y,pressure,size,touch_major,touch_minor,raw_x,raw_y
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973338000000,down,down,0,757.2998,1145.7002,0.2627451,0.042658523,116.6,90.200005,757.2998,1145.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973363000000,move,move,0,757.2998,1145.7002,0.6784314,0.068010226,177.1,152.6,757.2998,1145.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973380000000,move,move,0,757.2998,1145.7002,0.6784314,0.068010226,177.1,152.6,757.2998,1145.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973396000000,move,move,0,757.2998,1145.7002,0.6784314,0.068010226,177.1,152.6,757.2998,1145.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973413000000,move,move,0,757.2998,1145.7002,0.6784314,0.068010226,177.1,152.6,757.2998,1145.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973429000000,move,move,0,725.3135,1150.3164,0.8117648,0.07432237,192.1,168.2,725.3135,1150.3164
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973446000000,move,move,0,674.46484,1155.3965,0.81568635,0.07454928,192.6,168.8,674.46484,1155.3965
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973463000000,move,move,0,614.2168,1165.6016,0.81568635,0.0745699,192.7,168.8,614.2168,1165.6016
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973479000000,move,move,0,509.06445,1196.2764,0.81568635,0.07454928,192.7,168.7,509.06445,1196.2764
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973484000000,move,move,0,475.2002,1211.5,0.8078432,0.07421923,191.8,168.0,475.2002,1211.5
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521973492000000,up,up,0,475.2002,1211.5,0.8078432,0.07421923,191.8,168.0,475.2002,1211.5
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974278000000,down,down,0,837.5,1132.4004,0.34117648,0.048970666,139.40001,98.0,837.5,1132.4004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974297000000,move,move,0,837.5,1132.4004,0.3921569,0.05229176,146.1,107.4,837.5,1132.4004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974313000000,move,move,0,837.5,1132.4004,0.3921569,0.05229176,146.1,107.4,837.5,1132.4004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974330000000,move,move,0,837.5,1132.4004,0.3921569,0.05229176,146.1,107.4,837.5,1132.4004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974347000000,move,move,0,837.5,1132.4004,0.3921569,0.05229176,146.1,107.4,837.5,1132.4004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974363000000,move,move,0,825.88184,1133.2002,0.69411767,0.06883535,180.90001,152.8,825.88184,1133.2002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974380000000,move,move,0,788.41016,1134.165,0.7058824,0.06949544,182.2,154.7,788.41016,1134.165
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974397000000,move,move,0,741.08496,1136.6963,0.7137255,0.06986674,183.1,155.6,741.08496,1136.6963
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974413000000,move,move,0,706.2383,1138.7793,0.7137255,0.06990799,183.2,155.7,706.2383,1138.7793
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974430000000,move,move,0,632.5801,1146.3203,0.7137255,0.06990799,183.2,155.7,632.5801,1146.3203
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974447000000,move,move,0,509.4619,1175.6787,0.7137255,0.06988737,183.2,155.6,509.4619,1175.6787
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974450000000,move,move,0,485.2998,1185.0,0.7137255,0.06986674,183.2,155.5,485.2998,1185.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521974462000000,up,up,0,485.2998,1185.0,0.7137255,0.06986674,183.2,155.5,485.2998,1185.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975069000000,down,down,0,804.2998,1121.7002,0.27450982,0.043463014,117.0,93.700005,804.2998,1121.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975097000000,move,move,0,804.2998,1121.7002,0.60784316,0.06446223,168.0,144.5,804.2998,1121.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975114000000,move,move,0,804.2998,1121.7002,0.60784316,0.06446223,168.0,144.5,804.2998,1121.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975130000000,move,move,0,804.2998,1121.7002,0.60784316,0.06446223,168.0,144.5,804.2998,1121.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975147000000,move,move,0,793.67285,1121.5518,0.76470596,0.07221832,185.5,164.6,793.67285,1121.5518
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975164000000,move,move,0,746.5586,1127.2803,0.77647066,0.072795905,186.7,166.2,746.5586,1127.2803
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975181000000,move,move,0,695.0928,1132.1025,0.7803922,0.07285779,186.90001,166.3,695.0928,1132.1025
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975197000000,move,move,0,643.0576,1140.5889,0.7803922,0.07285779,186.90001,166.3,643.0576,1140.5889
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975214000000,move,move,0,547.2324,1164.9658,0.7803922,0.07285779,186.90001,166.3,547.2324,1164.9658
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975230000000,move,move,0,437.4502,1215.7002,0.7490196,0.07139321,183.90001,162.2,437.4502,1215.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975236000000,up,up,0,452.5996,1208.2998,0.7490196,0.07139321,183.90001,162.2,452.5996,1208.2998
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975826000000,down,down,0,838.7998,1080.0,0.2509804,0.04222534,123.1,81.6,838.7998,1080.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975848000000,move,move,0,838.7998,1080.0,0.7294118,0.070733115,187.0,155.90001,838.7998,1080.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975864000000,move,move,0,838.7998,1080.0,0.7294118,0.070733115,187.0,155.90001,838.7998,1080.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975881000000,move,move,0,838.7998,1080.0,0.7294118,0.070733115,187.0,155.90001,838.7998,1080.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975898000000,move,move,0,825.0703,1081.2744,0.7960785,0.07380667,193.1,164.7,825.0703,1081.2744
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975914000000,move,move,0,781.59766,1085.5,0.8078432,0.07426049,193.90001,166.1,781.59766,1085.5
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975931000000,move,move,0,736.9971,1088.6504,0.8117648,0.07438426,194.1,166.5,736.9971,1088.6504
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975948000000,move,move,0,702.209,1093.9268,0.8117648,0.07438426,194.1,166.5,702.209,1093.9268
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975964000000,move,move,0,635.63184,1108.2207,0.8117648,0.07438426,194.1,166.5,635.63184,1108.2207
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975981000000,move,move,0,529.125,1144.0156,0.8117648,0.07436363,194.1,166.40001,529.125,1144.0156
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521975998000000,move,move,0,413.53516,1204.832,0.8000001,0.0738273,192.6,165.3,413.53516,1204.832
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521976001000000,move,move,0,387.2998,1217.5996,0.7803922,0.07300218,190.40001,163.5,387.2998,1217.5996
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521976005000000,up,up,0,387.2998,1217.5996,0.7803922,0.07300218,190.40001,163.5,387.2998,1217.5996
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521976921000000,down,down,0,808.7998,1186.5996,0.27450982,0.043628037,119.3,92.200005,808.7998,1186.5996
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521976948000000,move,move,0,808.7998,1186.5996,0.5294118,0.060171623,157.0,134.7,808.7998,1186.5996
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521976965000000,move,move,0,808.7998,1186.5996,0.5294118,0.060171623,157.0,134.7,808.7998,1186.5996
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521976981000000,move,move,0,775.1162,1189.498,0.67058825,0.06768018,173.90001,154.2,775.1162,1189.498
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521976998000000,move,move,0,722.333,1194.9111,0.6901961,0.068546556,176.0,156.3,722.333,1194.9111
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977015000000,move,move,0,681.83496,1200.1328,0.69411767,0.068670325,176.40001,156.5,681.83496,1200.1328
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977032000000,move,move,0,586.1533,1220.4033,0.69411767,0.068670325,176.40001,156.5,586.1533,1220.4033
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977042000000,move,move,0,502.0,1254.0,0.6784314,0.06792772,174.6,154.7,502.0,1254.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977050000000,up,up,0,502.0,1254.0,0.6784314,0.06792772,174.6,154.7,502.0,1254.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977513000000,down,down,0,817.0,1135.0,0.2392157,0.040471964,100.4,95.8,817.0,1135.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977532000000,move,move,0,817.0,1135.0,0.8941177,0.077849746,195.3,182.1,817.0,1135.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977549000000,move,move,0,817.0,1135.0,0.8941177,0.077849746,195.3,182.1,817.0,1135.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977565000000,move,move,0,817.0,1135.0,0.8941177,0.077849746,195.3,182.1,817.0,1135.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977582000000,move,move,0,750.62695,1150.7666,0.8941177,0.07787037,195.40001,182.1,750.62695,1150.7666
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977599000000,move,move,0,670.3174,1167.8213,0.89019614,0.077829115,195.3,182.0,670.3174,1167.8213
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977615000000,move,move,0,541.16504,1220.8887,0.8745099,0.07714839,193.7,180.3,541.16504,1220.8887
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977617000000,move,move,0,522.2002,1231.5,0.8470589,0.07595198,191.6,176.6,522.2002,1231.5
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521977626000000,up,up,0,522.2002,1231.5,0.8470589,0.07595198,191.6,176.6,522.2002,1231.5
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978055000000,down,down,0,807.7998,1127.9004,0.28235295,0.04437064,121.200005,93.9,807.7998,1127.9004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978082000000,move,move,0,807.7998,1127.9004,0.52156866,0.059655923,156.3,132.90001,807.7998,1127.9004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978099000000,move,move,0,807.7998,1127.9004,0.52156866,0.059655923,156.3,132.90001,807.7998,1127.9004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978116000000,move,move,0,781.4619,1132.5566,0.6862745,0.06831965,175.6,155.6,781.4619,1132.5566
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978132000000,move,move,0,722.92676,1141.3359,0.70980394,0.06951606,178.2,158.8,722.92676,1141.3359
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978149000000,move,move,0,677.32324,1148.6104,0.7176471,0.069825485,178.8,159.7,677.32324,1148.6104
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978166000000,move,move,0,607.75684,1165.124,0.7176471,0.069846116,178.8,159.8,607.75684,1165.124
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978182000000,move,move,0,503.97656,1207.6387,0.7176471,0.069825485,178.8,159.7,503.97656,1207.6387
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978184000000,move,move,0,491.7002,1214.5,0.7137255,0.06978423,178.7,159.6,491.7002,1214.5
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978192000000,up,up,0,491.7002,1214.5,0.7137255,0.06978423,178.7,159.6,491.7002,1214.5
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978630000000,down,down,0,766.0,1151.0,0.34117648,0.04851685,132.2,103.0,766.0,1151.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978649000000,move,move,0,766.0,1151.0,0.5411765,0.0608936,162.6,132.6,766.0,1151.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978666000000,move,move,0,766.0,1151.0,0.5411765,0.0608936,162.6,132.6,766.0,1151.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978683000000,move,move,0,754.2539,1153.4277,0.64705884,0.06650439,175.7,146.7,754.2539,1153.4277
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978699000000,move,move,0,694.56934,1163.1826,0.6666667,0.067618296,178.6,149.2,694.56934,1163.1826
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978716000000,move,move,0,642.25977,1172.7461,0.67058825,0.06780395,179.0,149.7,642.25977,1172.7461
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978733000000,move,move,0,555.625,1197.4551,0.6745098,0.067886464,179.2,149.90001,555.625,1197.4551
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978738000000,move,move,0,518.5,1213.9004,0.67058825,0.06778332,178.8,149.8,518.5,1213.9004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521978747000000,up,up,0,518.5,1213.9004,0.67058825,0.06778332,178.8,149.8,518.5,1213.9004
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979171000000,down,down,0,790.0996,1147.0,0.19215688,0.03618136,94.1,81.3,790.0996,1147.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979200000000,move,move,0,790.0996,1147.0,0.64705884,0.06629811,168.7,152.7,790.0996,1147.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979216000000,move,move,0,790.0996,1147.0,0.64705884,0.06629811,168.7,152.7,790.0996,1147.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979233000000,move,move,0,790.0996,1147.0,0.64705884,0.06629811,168.7,152.7,790.0996,1147.0
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979250000000,move,move,0,740.19727,1155.2705,0.7254902,0.07025867,179.90001,160.7,740.19727,1155.2705
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979266000000,move,move,0,686.8076,1164.959,0.7254902,0.07036181,180.3,160.8,686.8076,1164.959
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979283000000,move,move,0,643.2041,1173.1943,0.7294118,0.07042369,180.5,160.90001,643.2041,1173.1943
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979300000000,move,move,0,566.10645,1192.3936,0.7294118,0.070464954,180.6,161.0,566.10645,1192.3936
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979309000000,move,move,0,511.2998,1214.7002,0.7254902,0.07036181,180.40001,160.7,511.2998,1214.7002
touch,45520f8d-a40d-4e8f-855e-f2579cf51e17,1774521979317000000,up,up,0,511.2998,1214.7002,0.7254902,0.07036181,180.40001,160.7,511.2998,1214.7002
