input,session_id,timestamp,event_type,event_type_detail,pointer_id,x,y,pressure,size,touch_major,touch_minor,raw_x,raw_y
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417532000000,move,move,1,657.0668,778.91095,1.0,0.019607844,5.0,5.0,657.0668,778.91095
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417549000000,move,move,0,511.30542,1223.5419,1.0,0.019607844,5.0,5.0,511.30542,1223.5419
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417549000000,move,move,1,662.5419,771.61084,1.0,0.019607844,5.0,5.0,662.5419,771.61084
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417566000000,move,move,0,507.64365,1229.0345,1.0,0.019607844,5.0,5.0,507.64365,1229.0345
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417566000000,move,move,1,666.3563,764.2873,1.0,0.019607844,5.0,5.0,666.3563,764.2873
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417571000000,move,move,0,506.43112,1230.8533,1.0,0.019607844,5.0,5.0,506.43112,1230.8533
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417571000000,move,move,1,667.5689,761.86224,1.0,0.019607844,5.0,5.0,667.5689,761.86224
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417588000000,move,move,0,502.65488,1236.5177,1.0,0.019607844,5.0,5.0,502.65488,1236.5177
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417588000000,move,move,1,671.34515,754.30975,1.0,0.019607844,5.0,5.0,671.34515,754.30975
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417605000000,move,move,0,499.9181,1242.2457,1.0,0.019607844,5.0,5.0,499.9181,1242.2457
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417605000000,move,move,1,675.1638,747.6723,1.0,0.019607844,5.0,5.0,675.1638,747.6723
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417621000000,move,move,0,497.08994,1247.8651,1.0,0.019607844,5.0,5.0,497.08994,1247.8651
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417621000000,move,move,1,678.9101,741.1799,1.0,0.019607844,5.0,5.0,678.9101,741.1799
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417638000000,move,move,0,495.17416,1254.3033,1.0,0.019607844,5.0,5.0,495.17416,1254.3033
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417638000000,move,move,1,682.6517,733.69666,1.0,0.019607844,5.0,5.0,682.6517,733.69666
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417655000000,move,move,0,492.29272,1260.1218,1.0,0.019607844,5.0,5.0,492.29272,1260.1218
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417655000000,move,move,1,686.41455,727.8782,1.0,0.019607844,5.0,5.0,686.41455,727.8782
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417671000000,move,move,0,489.85477,1266.7179,1.0,0.019607844,5.0,5.0,489.85477,1266.7179
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417671000000,move,move,1,690.14526,722.2821,1.0,0.019607844,5.0,5.0,690.14526,722.2821
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417688000000,move,move,0,487.09293,1272.3606,1.0,0.019607844,5.0,5.0,487.09293,1272.3606
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417688000000,move,move,1,693.9071,716.6394,1.0,0.019607844,5.0,5.0,693.9071,716.6394
