input,session_id,timestamp,x,y,z
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639179266546,-0.03863723,-0.02275473,0.0027488936
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639199266546,-0.025198191,-0.001985312,0.008857546
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639219266546,0.019394971,0.031612277,0.014966198
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639239266546,0.020616703,0.030390546,0.008246681
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639259266546,-0.0050396384,0.010231993,-0.004581489
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639279266546,-0.010537425,-0.0050396384,-0.011911872
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639299266546,-0.011148291,-0.017256944,-0.013133603
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639319266546,-0.028252518,-0.025809057,-0.011911872
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639339266546,-0.032528576,-0.024587326,-0.0070249503
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639359266546,-0.02397646,-0.02031127,-3.0543262E-4
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639379266546,-0.02397646,-0.013591751,0.003970624
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639399266546,-0.018478673,-0.0038179078,0.0021380284
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639419266546,-0.0025961774,0.007788532,0.0021380284
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639439266546,0.00290161,0.021227567,0.0070249503
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639459266546,0.013286319,0.030390546,0.005192355
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639479266546,0.011453724,0.016340645,-0.0027488936
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639499266546,-0.021533,-0.010537425,0.0015271631
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639519266546,-0.028863383,-0.016646078,0.014966198
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639539266546,-0.028252518,-0.011148291,0.013133603
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639559266546,-0.011759156,-0.0013744468,0.0125227375
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639579266546,0.00290161,0.00290161,0.019242255
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639599266546,0.010842858,0.009010263,0.013744468
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639619266546,0.015118915,0.01572978,0.0076358155
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639639266546,0.026725354,0.020616703,0.0027488936
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639659266546,0.02977968,0.01450805,-0.0015271631
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639679266546,0.01450805,0.0035124752,-0.003970624
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639699266546,0.0022907446,0.005955936,0.0070249503
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639719266546,0.01817324,0.020005837,0.025961773
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639739266546,0.06337727,0.038331795,0.0852157
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639759266546,0.17027868,0.11530081,0.20616703
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639779266546,0.35170567,0.25702155,0.269697
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639799266546,0.5209153,0.49464813,0.4456262
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639819266546,0.8575021,0.8868236,0.77488256
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639839266546,1.3895657,1.3987287,1.2733486
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639859266546,2.0615175,1.8037324,1.8579466
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639879266546,2.734691,1.9344575,2.2366831
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639899266546,3.1818442,1.9521726,2.5799894
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639919266546,3.5025487,1.9931005,3.111442
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639939266546,3.6766453,1.895973,3.4828482
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639959266546,3.6876407,1.6931658,3.6435058
