input,session_id,timestamp,x,y,z
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940048494844,-0.23942018,2.4420857,9.533711
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940068365976,-0.088585466,2.408567,9.706094
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940088237422,0.30645782,2.3582888,9.579201
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940108106680,0.4141969,2.2625206,9.351752
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940127976211,0.18435353,2.1212628,9.545682
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940147849453,0.110133275,2.0901382,9.65821
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940167722031,0.12449849,2.1428106,9.746795
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940187594492,0.39264908,2.135628,9.799467
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940207466328,0.16759412,2.2218192,9.655815
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940227337617,0.045489833,2.1883004,9.65821
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940247207812,0.07182605,2.1859062,9.411607
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940267068594,0.20111294,2.207454,9.3421755
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940286924101,0.25617957,2.1978772,9.555259
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940306781328,0.023942016,2.2218192,9.399636
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940326635234,0.05267244,2.2816741,9.643845
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940346486758,0.04309563,2.267309,9.555259
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940366341484,0.18435353,2.2601264,9.52174
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940386200234,0.18435353,2.2457612,9.454702
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940406056797,0.14844051,2.1691468,9.387665
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940425910820,0.16998832,2.1308396,9.344569
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940445764453,0.2896984,2.1499932,9.557653
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940465622578,0.22984336,2.0949266,9.52174
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940485479180,0.2657564,2.1763294,9.533711
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940505335547,0.15801731,2.1787236,9.564836
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940525193594,0.20590134,2.171541,9.502586
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940545051680,0.19393034,2.1260512,9.622296
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940564916719,0.11731588,2.1452048,9.6845455
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940584777305,0.16280572,2.1739352,9.41879
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940604637266,0.23942018,2.2697031,9.471462
sensor_accelerometer,e8af6bb8-95d7-421c-a8ae-59f5b0ea2bfe,1774642940624499492,0.09816227,2.2146366,9.540894
